epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.962,1.20965,2.13067,1.26484,0.84487,0.68703,0.73112,0.55706,0.91751,0.82391,1.10459,0.00332992,0.00332992,0.00332992
2,307.995,1.02454,1.12565,1.15469,0.84578,0.79286,0.79578,0.60723,0.85421,0.71895,1.07571,0.00653132,0.00653132,0.00653132
3,452.735,1.02515,0.99578,1.15002,0.90067,0.80796,0.82419,0.57526,1.01214,0.70611,1.15146,0.00960072,0.00960072,0.00960072
4,595.255,1.01393,0.88235,1.14405,0.93315,0.84059,0.84897,0.65334,0.85256,0.58957,1.07164,0.009406,0.009406,0.009406
5,737.197,0.97153,0.77206,1.11883,0.915,0.8383,0.84331,0.65587,0.81273,0.55469,1.05426,0.009208,0.009208,0.009208
6,879.297,0.94632,0.71615,1.10363,0.92088,0.85485,0.86225,0.67313,0.80875,0.53802,1.04737,0.00901,0.00901,0.00901
7,1021.74,0.9285,0.68303,1.09523,0.9373,0.85554,0.86158,0.66769,0.80834,0.50506,1.04238,0.008812,0.008812,0.008812
8,1164.93,0.90702,0.65483,1.08542,0.91707,0.86457,0.852,0.66851,0.79994,0.50205,1.03954,0.008614,0.008614,0.008614
9,1308.17,0.89431,0.63211,1.07742,0.92082,0.85909,0.86308,0.68028,0.77896,0.47284,1.0251,0.008416,0.008416,0.008416
10,1450.67,0.8886,0.62152,1.07484,0.93871,0.86682,0.87299,0.691,0.7605,0.46397,1.01873,0.008218,0.008218,0.008218
11,1593.12,0.87795,0.60659,1.06793,0.9457,0.85517,0.87486,0.69433,0.75758,0.45091,1.01587,0.00802,0.00802,0.00802
12,1736.23,0.86627,0.58855,1.06029,0.93741,0.86917,0.87431,0.69292,0.75951,0.45302,1.01707,0.007822,0.007822,0.007822
13,1885.57,0.85777,0.57967,1.0542,0.93358,0.86996,0.87349,0.70241,0.74618,0.44047,1.00696,0.007624,0.007624,0.007624
14,2039.47,0.85026,0.57184,1.0521,0.93867,0.86557,0.87677,0.70037,0.73947,0.42681,1.00386,0.007426,0.007426,0.007426
15,2195.1,0.84368,0.56675,1.04911,0.93423,0.87196,0.87787,0.70355,0.7413,0.43593,1.00275,0.007228,0.007228,0.007228
16,2349.14,0.83769,0.55393,1.04568,0.93826,0.86914,0.8744,0.70522,0.73503,0.42063,1.00143,0.00703,0.00703,0.00703
17,2497.62,0.83349,0.54853,1.04591,0.94426,0.87281,0.88512,0.7085,0.73367,0.41306,0.99825,0.006832,0.006832,0.006832
18,2644.78,0.82401,0.54168,1.03945,0.94432,0.87312,0.88859,0.71327,0.72955,0.40856,0.99559,0.006634,0.006634,0.006634
19,2790.78,0.81968,0.53452,1.0354,0.94002,0.87105,0.8836,0.70946,0.72433,0.40376,0.99381,0.006436,0.006436,0.006436
20,2947.99,0.81475,0.52994,1.03629,0.93647,0.88198,0.88219,0.71179,0.72353,0.39965,0.99194,0.006238,0.006238,0.006238
21,3091.48,0.81271,0.52605,1.03251,0.94548,0.8754,0.88794,0.7163,0.72482,0.39393,0.99149,0.00604,0.00604,0.00604
22,3234.86,0.8085,0.52358,1.03012,0.94132,0.87858,0.91719,0.74464,0.71273,0.3934,0.99031,0.005842,0.005842,0.005842
23,3378.14,0.79979,0.51263,1.0294,0.93504,0.87991,0.92455,0.75576,0.70976,0.3902,0.98756,0.005644,0.005644,0.005644
24,3521.57,0.79575,0.51296,1.02678,0.94291,0.87565,0.93377,0.75721,0.71524,0.38801,0.9881,0.005446,0.005446,0.005446
25,3664.96,0.79212,0.50835,1.023,0.93982,0.92192,0.93098,0.75791,0.71042,0.38709,0.98508,0.005248,0.005248,0.005248
26,3822.34,0.78826,0.49819,1.02095,0.92284,0.91818,0.93322,0.75979,0.70176,0.38737,0.98224,0.00505,0.00505,0.00505
27,3973.98,0.7851,0.49533,1.01742,0.92916,0.9154,0.93426,0.76237,0.70218,0.37873,0.98105,0.004852,0.004852,0.004852
28,4120.33,0.7797,0.48887,1.01824,0.94159,0.92342,0.93381,0.76455,0.69937,0.37565,0.98053,0.004654,0.004654,0.004654
29,4268.6,0.78099,0.49003,1.0193,0.93165,0.93066,0.93679,0.7654,0.70064,0.37578,0.98044,0.004456,0.004456,0.004456
30,4416.08,0.77425,0.48081,1.01496,0.89857,0.92926,0.93725,0.7636,0.69709,0.37162,0.97938,0.004258,0.004258,0.004258
31,4564.72,0.77123,0.48206,1.01213,0.93224,0.92644,0.93958,0.76858,0.69582,0.37088,0.97759,0.00406,0.00406,0.00406
32,4721.91,0.76843,0.47478,1.01317,0.93865,0.92383,0.93846,0.76556,0.69295,0.36242,0.9753,0.003862,0.003862,0.003862
33,4865.37,0.76234,0.47216,1.00818,0.92124,0.92101,0.93621,0.76804,0.68969,0.36669,0.97441,0.003664,0.003664,0.003664
34,5008.49,0.7611,0.47075,1.00886,0.91477,0.91994,0.9356,0.76762,0.69131,0.36349,0.97353,0.003466,0.003466,0.003466
35,5156.32,0.75551,0.46794,1.00745,0.93709,0.92042,0.9382,0.76754,0.68954,0.36296,0.97361,0.003268,0.003268,0.003268
36,5307.44,0.75085,0.4632,1.0019,0.926,0.92363,0.93893,0.77057,0.68873,0.36215,0.97398,0.00307,0.00307,0.00307
37,5458.22,0.75245,0.46046,1.00547,0.91651,0.92062,0.93876,0.77167,0.68907,0.35833,0.97304,0.002872,0.002872,0.002872
38,5612.93,0.74561,0.4571,1.0037,0.9133,0.92238,0.93868,0.77117,0.69002,0.36056,0.97246,0.002674,0.002674,0.002674
39,5760.85,0.74209,0.45172,0.99791,0.91329,0.92062,0.93887,0.77062,0.68755,0.35965,0.97047,0.002476,0.002476,0.002476
40,5912.9,0.7385,0.44544,0.99862,0.91587,0.92277,0.94113,0.77321,0.68781,0.35869,0.97046,0.002278,0.002278,0.002278
41,6091.64,0.7177,0.37891,1.02163,0.91943,0.91871,0.94108,0.77322,0.68585,0.35714,0.96944,0.00208,0.00208,0.00208
42,6236.23,0.71168,0.3739,1.01627,0.92176,0.92786,0.9396,0.77295,0.68131,0.35851,0.96823,0.001882,0.001882,0.001882
43,6378.93,0.70726,0.36809,1.01881,0.93585,0.9262,0.93967,0.77447,0.67846,0.35923,0.96692,0.001684,0.001684,0.001684
44,6522.07,0.70115,0.36277,1.01342,0.94255,0.92152,0.93957,0.77422,0.67862,0.3603,0.96714,0.001486,0.001486,0.001486
45,6664.36,0.69599,0.35934,1.00993,0.9378,0.92493,0.94009,0.77571,0.67891,0.35896,0.96738,0.001288,0.001288,0.001288
46,6806.95,0.69171,0.35585,1.00697,0.924,0.92685,0.94162,0.77571,0.67748,0.35633,0.96629,0.00109,0.00109,0.00109
47,6950.13,0.68693,0.35107,1.00347,0.91735,0.92653,0.94097,0.77747,0.67701,0.35695,0.96631,0.000892,0.000892,0.000892
48,7094.91,0.68137,0.34792,0.99989,0.92085,0.92588,0.94126,0.77753,0.67647,0.35519,0.96576,0.000694,0.000694,0.000694
49,7238.61,0.6773,0.34379,0.99723,0.92561,0.92558,0.94122,0.77933,0.67555,0.35389,0.96497,0.000496,0.000496,0.000496
50,7385.68,0.67318,0.34177,0.99463,0.92852,0.92246,0.94164,0.77886,0.67484,0.35372,0.96445,0.000298,0.000298,0.000298
